Month Name,Agency,Description,Borough,# of Incidents,Response Times
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,15,6.67
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,15,73.33
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,15,13.33
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,15,6.67
2021 / 09,FDNY,Average response time to structural fires,Staten Island,3,435.00
2021 / 09,FDNY,Average response time to non-fire emergencies,Staten Island,579,672.81
2021 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,291,516.09
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,3,33.33
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,3,33.33
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,3,33.33
2021 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,3,0.00
2021 / 09,FDNY,Average response time to non-fire emergencies,Unspecified,12,1007.25
2021 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,1,608.00
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,10740,610.08
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,8682,683.22
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,8906,609.50
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8048,618.17
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1806,618.56
2021 / 08,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,32,813.56
2021 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,272,504.51
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,6986,614.07
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,22057,768.81
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,4413,45.03
2021 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,188,514.64
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,6019,638.85
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,19562,748.46
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,3562,32.68
2021 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,213,454.29
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,6114,581.32
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,18542,725.90
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,4229,55.43
2021 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,229,528.92
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,5139,618.83
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,16402,687.53
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,3052,34.50
2021 / 08,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,42,514.81
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1109,608.82
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,3346,725.53
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,702,48.58
2021 / 08,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,13,762.92
2021 / 08,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,51,885.16
2021 / 08,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,3,0.00
2021 / 08,FDNY,Average response time to structural fires,Brooklyn,23,299.39
2021 / 08,FDNY,Average response time to non-structural fires,Brooklyn,6,404.00
2021 / 08,FDNY,Average response time to non-fire emergencies,Brooklyn,4825,610.36
2021 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,1125,440.29
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,29,62.07
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,29,31.03
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,29,6.90
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,29,0.00
2021 / 08,FDNY,Average response time to structural fires,Bronx,19,343.32
2021 / 08,FDNY,Average response time to non-structural fires,Bronx,2,393.00
2021 / 08,FDNY,Average response time to non-fire emergencies,Bronx,3233,768.08
2021 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,575,527.50
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,21,19.05
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,21,80.95
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,21,0.00
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,21,0.00
2021 / 08,FDNY,Average response time to structural fires,Manhattan,22,465.73
2021 / 08,FDNY,Average response time to non-structural fires,Manhattan,7,321.29
2021 / 08,FDNY,Average response time to non-fire emergencies,Manhattan,3461,666.12
2021 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,784,489.44
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,29,37.93
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,29,55.17
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,29,3.45
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,29,3.45
2021 / 08,FDNY,Average response time to structural fires,Queens,15,306.27
2021 / 08,FDNY,Average response time to non-structural fires,Queens,7,508.00
2021 / 08,FDNY,Average response time to non-fire emergencies,Queens,3681,634.87
2021 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,793,475.69
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,22,36.36
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,22,59.09
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,22,4.55
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,22,0.00
2021 / 08,FDNY,Average response time to structural fires,Staten Island,3,286.67
2021 / 08,FDNY,Average response time to non-structural fires,Staten Island,1,357.00
2021 / 08,FDNY,Average response time to non-fire emergencies,Staten Island,850,633.63
2021 / 08,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,161,431.86
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,4,25.00
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,4,75.00
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,4,0.00
2021 / 08,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,4,0.00
2021 / 08,FDNY,Average response time to non-fire emergencies,Unspecified,20,835.05
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13242,536.67
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10882,592.47
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11457,548.11
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9580,549.30
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2243,523.29
2021 / 07,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,35,640.71
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,628,522.21
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11675,600.09
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,27180,708.19
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7633,46.55
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,499,522.71
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9680,618.84
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24308,708.39
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,5943,39.07
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,534,471.92
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10335,576.96
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,23260,703.21
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7110,58.09
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,494,506.84
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8434,613.41
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20555,666.31
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,5210,38.58
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,122,523.61
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2040,589.52
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4358,676.00
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1335,50.86
2021 / 07,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,3,729.00
2021 / 07,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,22,796.36
2021 / 07,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,66,867.74
2021 / 07,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,13,15.38
2021 / 07,FDNY,Average response time to structural fires,Brooklyn,300,270.28
2021 / 07,FDNY,Average response time to non-structural fires,Brooklyn,235,337.61
2021 / 07,FDNY,Average response time to non-fire emergencies,Brooklyn,9231,518.95
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4493,471.63
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,535,59.07
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,535,39.44
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,535,1.12
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,535,0.37
2021 / 07,FDNY,Average response time to structural fires,Bronx,227,317.05
2021 / 07,FDNY,Average response time to non-structural fires,Bronx,156,408.09
2021 / 07,FDNY,Average response time to non-fire emergencies,Bronx,6676,642.19
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2706,583.74
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,383,33.94
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,383,62.40
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,383,3.13
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,383,0.52
2021 / 07,FDNY,Average response time to structural fires,Manhattan,212,300.18
2021 / 07,FDNY,Average response time to non-structural fires,Manhattan,162,356.52
2021 / 07,FDNY,Average response time to non-fire emergencies,Manhattan,6748,553.55
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3101,523.82
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,374,44.12
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,374,54.01
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,374,1.60
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,374,0.27
2021 / 07,FDNY,Average response time to structural fires,Queens,152,304.51
2021 / 07,FDNY,Average response time to non-structural fires,Queens,215,392.98
2021 / 07,FDNY,Average response time to non-fire emergencies,Queens,6294,590.36
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,3046,509.34
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,367,40.05
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,367,55.04
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,367,4.09
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,367,0.82
2021 / 07,FDNY,Average response time to structural fires,Staten Island,38,317.66
2021 / 07,FDNY,Average response time to non-structural fires,Staten Island,39,333.77
2021 / 07,FDNY,Average response time to non-fire emergencies,Staten Island,1603,518.37
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,825,467.84
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,77,44.16
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,77,55.84
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,77,0.00
2021 / 07,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,77,0.00
2021 / 07,FDNY,Average response time to non-fire emergencies,Unspecified,30,869.97
2021 / 07,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,7,1087.57
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12666,538.33
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11058,591.71
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11808,559.84
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9416,559.23
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2101,541.60
2021 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,35,744.20
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,562,501.15
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11175,593.97
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,26019,689.73
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7246,46.99
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,499,530.03
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9815,623.86
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,23886,717.79
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,6009,37.49
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,544,502.25
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10619,594.18
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,23379,724.45
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7247,54.77
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,519,517.40
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8313,610.64
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,19888,663.47
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,5104,38.97
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,108,496.14
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1857,594.89
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4089,667.44
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1200,50.33
2021 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,519.00
2021 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,25,740.84
2021 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,71,867.96
2021 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,13,46.15
2021 / 06,FDNY,Average response time to structural fires,Brooklyn,300,272.77
2021 / 06,FDNY,Average response time to non-structural fires,Brooklyn,246,348.93
2021 / 06,FDNY,Average response time to non-fire emergencies,Brooklyn,8752,538.66
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4153,471.04
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,546,56.04
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,546,42.49
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,546,1.65
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,546,0.18
2021 / 06,FDNY,Average response time to structural fires,Bronx,261,318.73
2021 / 06,FDNY,Average response time to non-structural fires,Bronx,125,397.87
2021 / 06,FDNY,Average response time to non-fire emergencies,Bronx,6556,618.39
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2646,580.74
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,386,35.49
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,386,62.44
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,386,2.07
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,386,0.00
2021 / 06,FDNY,Average response time to structural fires,Manhattan,201,298.90
2021 / 06,FDNY,Average response time to non-structural fires,Manhattan,166,419.25
2021 / 06,FDNY,Average response time to non-fire emergencies,Manhattan,6667,576.54
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3215,534.54
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,367,41.42
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,367,55.04
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,367,3.00
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,367,0.54
2021 / 06,FDNY,Average response time to structural fires,Queens,167,322.34
2021 / 06,FDNY,Average response time to non-structural fires,Queens,184,399.51
2021 / 06,FDNY,Average response time to non-fire emergencies,Queens,5706,587.35
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2963,510.34
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,351,36.47
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,351,58.97
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,351,4.27
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,351,0.57
2021 / 06,FDNY,Average response time to structural fires,Staten Island,34,304.97
2021 / 06,FDNY,Average response time to non-structural fires,Staten Island,37,477.38
2021 / 06,FDNY,Average response time to non-fire emergencies,Staten Island,1415,560.98
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,743,481.36
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,71,36.62
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,71,60.56
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,71,1.41
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,71,1.41
2021 / 06,FDNY,Average response time to non-structural fires,Unspecified,1,572.00
2021 / 06,FDNY,Average response time to non-fire emergencies,Unspecified,26,893.92
2021 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,5,1035.40
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,0.00
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,100.00
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,0.00
2021 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0.00
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12565,526.91
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10857,575.05
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,10759,539.40
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9206,547.45
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2124,531.49
2021 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,28,656.32
2021 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,608,492.64
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11203,588.27
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,25919,666.62
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7241,47.60
2021 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,538,500.34
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9715,602.28
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,23464,664.41
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,6180,41.44
2021 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,511,477.55
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,9697,568.76
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,22379,676.07
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6666,58.93
2021 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,506,516.79
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8169,605.01
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,19436,647.40
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,5051,37.50
2021 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,127,485.03
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1927,583.84
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4165,655.49
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1272,51.02
2021 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,17,674.12
2021 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,62,907.35
2021 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,9,44.44
2021 / 05,FDNY,Average response time to structural fires,Brooklyn,394,265.63
2021 / 05,FDNY,Average response time to non-structural fires,Brooklyn,283,366.65
2021 / 05,FDNY,Average response time to non-fire emergencies,Brooklyn,8191,536.79
2021 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4114,478.60
2021 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,677,64.25
2021 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,677,33.53
2021 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,677,1.62
2021 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,677,0.59
2021 / 05,FDNY,Average response time to structural fires,Bronx,291,327.56
2021 / 05,FDNY,Average response time to non-structural fires,Bronx,158,413.43
